1,4.94146,5.08363
2,4.9619,5.09778
3,4.9503,5.09798
4,4.96426,5.08068
5,4.94126,5.06888
6,4.94932,5.07006
7,4.9847,5.07537
8,5.00043,5.07439
9,5.00023,5.0677
10,4.98038,5.06967
11,4.98234,5.05945
12,4.93261,5.06144
13,4.99768,5.06102
14,4.92475,5.04589
15,4.94972,5.04726
16,4.95974,5.04628
17,4.95227,5.05611
18,4.93949,5.04982
19,4.97586,5.05001
20,4.96642,5.04392
21,5.00082,5.02957
22,4.99866,5.03429
23,4.9448,5.02918
24,4.99807,5.0223
25,4.98922,5.02132
26,4.90784,5.00303
27,4.92495,5.07124
28,4.92475,5.07616
29,4.92239,5.08068
30,4.90745,5.04372
31,4.9334,5.02663
32,4.92495,5.03684
33,4.90981,5.09935
34,4.92613,5.0907
35,4.90824,5.08127
36,4.90372,5.08953
37,4.90391,5.03291
38,4.92259,5.02309
39,4.90765,5.01719
40,4.93949,5.00166
41,4.94539,5.01404
42,4.93104,5.0052
43,4.93615,5.01404
44,4.92121,5.01424
45,4.90195,5.06515
46,4.92512,5.05807
47,4.93694,5.09974
48,4.94952,5.0852
49,4.9674,5.05964
50,4.95934,5.06515
51,4.99728,5.04549
52,4.98962,5.03075
53,4.98686,5.04215
54,4.97546,5.04117
55,4.95423,5.03036
56,4.95463,5.01011
57,4.97704,5.0223
58,4.96328,5.01345
59,4.96741,5.02996
60,4.97409,5.00421
61,4.99276,5.01424
62,4.96446,5.00677
63,4.98608,5.01837
64,4.98097,5.00087
65,4.9965,5.005
66,4.97704,5.09876
67,4.97527,5.0852
68,4.99099,5.09994
69,4.99944,5.08992
70,4.98863,5.0964
71,4.99591,5.08245
72,4.99276,5.07419
73,4.98667,5.09463
